                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9194,                  1.265,                 1.0342,                0.86528,                0.89662,                0.93304,                0.60084,                 1.1921,                0.66974,                0.86754,              0.0005544,              0.0005544,              0.0005544
                      2,                  1.265,                0.81163,                0.87307,                0.90728,                0.94018,                0.94472,                0.66276,                0.99533,                0.59537,                0.83268,              0.0010551,              0.0010551,              0.0010551
                      3,                 1.1059,                0.74524,                0.85032,                0.94175,                0.94119,                 0.9653,                0.73169,                0.86324,                0.53775,                0.81736,              0.0015008,              0.0015008,              0.0015008
                      4,                 1.0133,                0.70722,                0.83833,                 0.9493,                0.94816,                0.97619,                0.76126,                0.76808,                 0.4878,                0.80669,              0.0014195,              0.0014195,              0.0014195
                      5,                0.96291,                 0.6809,                0.83282,                0.95506,                0.95393,                0.98018,                0.76919,                0.76268,                0.48876,                0.80625,              0.0014195,              0.0014195,              0.0014195
                      6,                0.90697,                0.66486,                0.82731,                0.95499,                0.95552,                0.96574,                0.76252,                 0.7467,                0.46614,                0.80459,              0.0013369,              0.0013369,              0.0013369
                      7,                0.85828,                0.64268,                0.82318,                0.95732,                0.96052,                0.97943,                0.80579,                0.67552,                0.43842,                0.79719,              0.0012544,              0.0012544,              0.0012544
                      8,                0.84739,                0.63751,                0.82074,                0.95737,                0.96289,                0.98613,                0.80497,                0.69604,                0.44688,                0.80066,              0.0011719,              0.0011719,              0.0011719
                      9,                0.81598,                0.62349,                0.81787,                0.95431,                0.96615,                0.98749,                0.81424,                0.65926,                0.43711,                  0.796,              0.0010894,              0.0010894,              0.0010894
                     10,                0.78649,                0.61517,                0.81467,                0.96151,                0.96265,                0.98561,                 0.8236,                0.62565,                0.42045,                0.79411,              0.0010069,              0.0010069,              0.0010069
                     11,                 0.7111,                0.60327,                0.80723,                0.96255,                0.96668,                0.98833,                  0.821,                0.63858,                0.41009,                0.79441,             0.00092435,             0.00092435,             0.00092435
                     12,                0.66291,                0.58438,                 0.8031,                0.97146,                0.96651,                0.98992,                0.84944,                0.56689,                0.35486,                0.78801,             0.00084184,             0.00084184,             0.00084184
                     13,                0.63665,                0.57772,                 0.8009,                0.97226,                0.96742,                0.98735,                0.85056,                0.55411,                0.36597,                 0.7873,             0.00075932,             0.00075932,             0.00075932
                     14,                0.60682,                0.55928,                0.79802,                0.98087,                0.95224,                0.99085,                0.86652,                0.53869,                0.34778,                0.78623,              0.0006768,              0.0006768,              0.0006768
                     15,                 0.5857,                0.55304,                0.79624,                0.98657,                0.96118,                 0.9924,                0.86949,                 0.4976,                0.35013,                0.78395,             0.00059429,             0.00059429,             0.00059429
                     16,                0.56791,                0.54687,                0.79404,                 0.9765,                0.97326,                0.99218,                0.87707,                0.49126,                0.32577,                0.78359,             0.00051177,             0.00051177,             0.00051177
                     17,                0.55291,                0.53924,                 0.7944,                0.98511,                 0.9794,                0.99334,                0.88847,                0.48125,                0.31832,                0.78362,             0.00042925,             0.00042925,             0.00042925
                     18,                 0.5217,                 0.5311,                0.79188,                0.97334,                0.96616,                0.99079,                0.88594,                0.46169,                 0.3311,                0.78174,             0.00034674,             0.00034674,             0.00034674
                     19,                0.49952,                0.51885,                0.78976,                0.98718,                0.95854,                 0.9927,                 0.8975,                0.43549,                0.32634,                0.78044,             0.00026422,             0.00026422,             0.00026422
                     20,                0.47756,                 0.5057,                0.78871,                0.98892,                0.98115,                0.99366,                0.90833,                0.41959,                0.30468,                0.77978,              0.0001817,              0.0001817,              0.0001817
